epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9128,2.57911,16.2124,2.25862,0.04632,0.04688,0.01225,0.00425,2.07135,12.497,1.99304,0.00022,0.00022,0.00022
2,37.0664,1.79794,6.98048,1.67951,0.40971,0.25,0.24511,0.11011,1.93656,9.80951,1.71368,0.000450892,0.000450892,0.000450892
3,48.4299,1.80548,4.65856,1.63531,0.27819,0.20312,0.17741,0.07855,2.07181,7.6402,2.05071,0.00067228,0.00067228,0.00067228
4,58.7851,1.88413,3.42535,1.707,0.30341,0.375,0.29726,0.09686,2.1544,12.3884,2.5811,0.000884164,0.000884164,0.000884164
5,68.9936,1.70716,2.98993,1.65142,0.07324,0.20312,0.03373,0.00708,2.62205,19.2333,3.83841,0.00108654,0.00108654,0.00108654
6,79.2249,2.03126,2.68824,1.95318,0.03764,0.10938,0.0085,0.0022,2.86613,10.6383,5.70823,0.00127942,0.00127942,0.00127942
7,85.9943,1.96086,2.65487,1.92436,0.0095,0.17361,0.00403,0.00101,3.09339,28.3518,6.48738,0.00146279,0.00146279,0.00146279
8,92.7756,1.82754,2.33524,1.81096,0.00267,0.42188,0.00176,0.00052,3.26073,167.165,11.0356,0.00163666,0.00163666,0.00163666
9,99.7317,1.86446,2.30778,1.89617,0.00603,0.33408,0.00376,0.00097,3.07843,92.9236,7.66717,0.0016832,0.0016832,0.0016832
10,106.42,1.86199,2.04683,1.82817,0.01252,0.34375,0.00862,0.0024,2.7576,42.9319,6.68083,0.0016436,0.0016436,0.0016436
11,113.368,1.77372,1.86616,1.78606,0.00698,0.5,0.00591,0.00218,2.22559,63.3747,3.16492,0.001604,0.001604,0.001604
12,120.158,1.77418,1.66388,1.76845,0.04046,0.20312,0.01973,0.00847,2.33902,20.5106,3.08273,0.0015644,0.0015644,0.0015644
13,126.895,1.8602,1.80762,1.81107,0.05096,0.29688,0.02602,0.01051,2.41654,13.868,2.82972,0.0015248,0.0015248,0.0015248
14,133.697,1.84418,1.91562,1.87996,0.32721,0.24325,0.17516,0.06526,2.38862,7.01382,2.82845,0.0014852,0.0014852,0.0014852
15,140.333,1.65138,1.61555,1.68094,0.62656,0.26562,0.34665,0.12096,2.46778,7.33055,2.5891,0.0014456,0.0014456,0.0014456
16,147.242,1.76874,1.61182,1.74607,0.7312,0.42188,0.48441,0.20746,2.13577,5.1901,2.36071,0.001406,0.001406,0.001406
17,154.119,1.66225,1.61707,1.76255,0.62156,0.375,0.39006,0.15187,2.21101,2.62305,2.32189,0.0013664,0.0013664,0.0013664
18,161.076,1.61394,1.61501,1.63807,0.48603,0.32812,0.3182,0.14963,2.0002,3.07487,2.09887,0.0013268,0.0013268,0.0013268
19,168.029,1.59843,1.49141,1.59457,0.59851,0.35938,0.40568,0.1777,2.14977,2.48512,2.19625,0.0012872,0.0012872,0.0012872
20,175.072,1.63435,1.4484,1.63594,0.57661,0.53125,0.54511,0.25779,2.03407,2.20486,2.13626,0.0012476,0.0012476,0.0012476
21,182.024,1.61105,1.5067,1.64125,0.75811,0.5,0.57527,0.28906,1.90849,2.02074,2.01213,0.001208,0.001208,0.001208
22,188.938,1.55573,1.37626,1.63374,0.71849,0.51847,0.6253,0.28136,1.88539,2.1836,2.02243,0.0011684,0.0011684,0.0011684
23,195.774,1.528,1.28753,1.57484,0.5453,0.57812,0.54625,0.27638,1.87572,2.22506,1.93756,0.0011288,0.0011288,0.0011288
24,203.068,1.61913,1.48434,1.67554,0.69693,0.57812,0.61862,0.32151,1.92424,1.76778,1.97811,0.0010892,0.0010892,0.0010892
25,213.887,1.58779,1.32255,1.57528,0.72556,0.53709,0.57346,0.27298,1.94145,2.1207,1.98335,0.0010496,0.0010496,0.0010496
26,222.653,1.56046,1.23864,1.56822,0.60238,0.60938,0.54024,0.2464,1.88865,2.42684,1.94459,0.00101,0.00101,0.00101
27,232.123,1.40571,1.17029,1.46692,0.54944,0.66695,0.58094,0.2808,1.78024,2.24233,1.83763,0.0009704,0.0009704,0.0009704
28,241.267,1.46214,1.11515,1.48816,0.67391,0.58129,0.69697,0.34156,1.86477,2.29435,1.89912,0.0009308,0.0009308,0.0009308
29,254.584,1.38837,1.11969,1.43349,0.64666,0.57812,0.6347,0.32201,1.82393,2.437,1.85618,0.0008912,0.0008912,0.0008912
